Date,Asset,PnL,Type,Equity
2025-07-17 09:30:00-04:00,Zloto (XAU),-30.25,SL,4039.75
2025-07-21 09:30:00-04:00,Nasdaq 100,74.75,TP,4114.5
2025-07-22 09:30:00-04:00,GER40 (DAX),-30.25,SL,4084.25
2025-07-23 11:30:00-04:00,GER40 (DAX),74.75,TP,4159.0
2025-07-29 09:30:00-04:00,Nasdaq 100,74.75,TP,4233.75
2025-07-30 14:30:00-04:00,Nasdaq 100,-30.25,SL,4203.5
2025-08-01 09:30:00-04:00,Zloto (XAU),-30.25,SL,4173.25
2025-08-11 09:30:00-04:00,Zloto (XAU),-30.25,SL,4143.0
2025-08-12 10:30:00-04:00,Nasdaq 100,74.75,TP,4217.75
2025-08-14 10:30:00-04:00,GER40 (DAX),74.75,TP,4292.5
2025-08-18 09:30:00-04:00,GER40 (DAX),-30.25,SL,4262.25
2025-08-22 09:30:00-04:00,Zloto (XAU),-30.25,SL,4232.0
2025-08-29 09:30:00-04:00,Nasdaq 100,-30.25,SL,4201.75
2025-09-10 09:30:00-04:00,Nasdaq 100,74.75,TP,4276.5
2025-09-22 09:30:00-04:00,Zloto (XAU),74.75,TP,4351.25
2025-10-02 09:30:00-04:00,Nasdaq 100,74.75,TP,4426.0
2025-10-02 09:30:00-04:00,Zloto (XAU),74.75,TP,4500.75
2025-10-10 10:30:00-04:00,Nasdaq 100,-30.25,SL,4470.5
2025-10-14 09:30:00-04:00,Nasdaq 100,-30.25,SL,4440.25
2025-10-17 09:30:00-04:00,GER40 (DAX),-30.25,SL,4410.0
2025-10-27 13:30:00-04:00,Nasdaq 100,74.75,TP,4484.75
2025-11-04 09:30:00-05:00,Zloto (XAU),-30.25,SL,4454.5
2025-11-28 09:30:00-05:00,Zloto (XAU),74.75,TP,4529.25
2025-12-11 12:30:00-05:00,Zloto (XAU),74.75,TP,4604.0
2025-12-12 10:30:00-05:00,Nasdaq 100,-30.25,SL,4573.75
2025-12-16 12:30:00-05:00,GER40 (DAX),-30.25,SL,4543.5
2025-12-22 09:30:00-05:00,Zloto (XAU),74.75,TP,4618.25
2026-01-06 09:30:00-05:00,GER40 (DAX),74.75,TP,4693.0
